;Neighborhood_FID;Land_Value;Area_Types;Area_Count;City_Name
0;1;9238.7;MixedUseArea_Residential_SpecialUseArea;37;Berlin
1;2;3658.7;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;20;Berlin
2;3;2452.0;Residential;3;Berlin
3;4;7877.8;MixedUseArea_Residential_SpecialUseArea;15;Berlin
4;5;1726.8;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;14;Berlin
5;6;2444.1;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;15;Berlin
6;7;5043.2;CommercialBuildingArea_MixedUseArea_Residential;17;Berlin
7;8;4642.0;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;21;Berlin
8;9;4385.7;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;28;Berlin
9;10;1657.7;CommercialBuildingArea_Residential;19;Berlin
10;11;353.9;CommercialBuildingArea_Residential_SpecialUseArea;8;Berlin
11;12;557.3;CommercialBuildingArea_Residential_SpecialUseArea;15;Berlin
12;13;569.6;Residential_SpecialUseArea;6;Berlin
13;14;504.0;Residential;7;Berlin
14;15;1745.3;Residential_SpecialUseArea;12;Berlin
15;16;260.1;Residential_SpecialUseArea;7;Berlin
16;17;441.6;CommercialBuildingArea_Residential_SpecialUseArea;12;Berlin
17;18;549.7;CommercialBuildingArea_Residential_SpecialUseArea;13;Berlin
18;19;776.5;CommercialBuildingArea_Residential;8;Berlin
19;20;504.3;Residential;4;Berlin
20;21;568.8;CommercialBuildingArea_Residential;2;Berlin
21;22;6354.9;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;27;Berlin
22;23;4475.5;MixedUseArea_Residential_SpecialUseArea;16;Berlin
23;24;2270.8;CommercialBuildingArea_Residential;9;Berlin
24;25;2808.7;Residential;6;Berlin
25;26;1908.2;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;24;Berlin
26;27;783.4;CommercialBuildingArea_Residential_SpecialUseArea;8;Berlin
27;28;5424.3;CommercialBuildingArea_MixedUseArea_Residential;5;Berlin
28;29;1113.8;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;22;Berlin
29;30;782.4;CommercialBuildingArea_Residential_SpecialUseArea;11;Berlin
30;31;958.6;CommercialBuildingArea_Residential;8;Berlin
31;32;508.5;CommercialBuildingArea_Residential_SpecialUseArea;25;Berlin
32;33;627.4;Residential_SpecialUseArea;6;Berlin
33;34;581.6;Residential_SpecialUseArea;13;Berlin
34;35;606.8;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;19;Berlin
35;36;510.8;Residential_SpecialUseArea;17;Berlin
36;37;836.9;CommercialBuildingArea_Residential_SpecialUseArea;29;Berlin
37;38;2420.2;CommercialBuildingArea_MixedUseArea_Residential;15;Berlin
38;39;1224.7;CommercialBuildingArea_Residential_SpecialUseArea;40;Berlin
39;40;1140.4;CommercialBuildingArea_Residential_SpecialUseArea;11;Berlin
40;41;1484.0;CommercialBuildingArea_MixedUseArea_Residential;22;Berlin
41;42;2231.3;Residential_SpecialUseArea;12;Berlin
42;43;1476.3;Residential;8;Berlin
43;44;1413.6;Residential_SpecialUseArea;12;Berlin
44;45;4173.7;CommercialBuildingArea_MixedUseArea_Residential;20;Berlin
45;46;6000.0;MixedUseArea;1;Berlin
46;47;1582.8;CommercialBuildingArea_Residential;17;Berlin
47;48;764.4;CommercialBuildingArea_Residential;12;Berlin
48;49;657.0;CommercialBuildingArea_Residential;13;Berlin
49;50;723.8;CommercialBuildingArea_Residential;10;Berlin
50;51;2874.3;CommercialBuildingArea_MixedUseArea_Residential;15;Berlin
51;52;824.0;CommercialBuildingArea_Residential_SpecialUseArea;19;Berlin
52;53;671.8;CommercialBuildingArea_Residential_SpecialUseArea;17;Berlin
53;54;552.9;CommercialBuildingArea_Residential;11;Berlin
54;55;666.6;Residential;2;Berlin
55;56;2849.2;CommercialBuildingArea_MixedUseArea_Residential;5;Berlin
56;57;787.1;Residential_SpecialUseArea;3;Berlin
57;58;475.9;Residential_SpecialUseArea;5;Berlin
58;59;602.4;CommercialBuildingArea_Residential_SpecialUseArea;15;Berlin
59;60;597.3;CommercialBuildingArea_Residential_SpecialUseArea;12;Berlin
60;61;528.1;Residential_SpecialUseArea;14;Berlin
61;62;753.1;CommercialBuildingArea_Residential;10;Berlin
62;63;482.5;CommercialBuildingArea_Residential;7;Berlin
63;64;1125.8;CommercialBuildingArea_Residential_SpecialUseArea;7;Berlin
64;65;763.7;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;35;Berlin
65;66;770.5;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;12;Berlin
66;67;471.5;Residential_SpecialUseArea;7;Berlin
67;68;796.7;Residential_SpecialUseArea;8;Berlin
68;69;433.9;CommercialBuildingArea_Residential_SpecialUseArea;3;Berlin
69;70;469.8;Residential;7;Berlin
70;71;582.9;CommercialBuildingArea_MixedUseArea_Residential;19;Berlin
71;72;617.0;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;20;Berlin
72;73;564.7;Residential;4;Berlin
73;74;616.6;CommercialBuildingArea_Residential_SpecialUseArea;5;Berlin
74;75;623.7;MixedUseArea_Residential;6;Berlin
75;76;800.8;Residential;9;Berlin
76;77;626.9;CommercialBuildingArea_Residential;9;Berlin
77;78;985.8;CommercialBuildingArea_Residential;17;Berlin
78;79;450.5;Residential;3;Berlin
79;80;440.0;Residential;1;Berlin
80;81;436.6;Residential;3;Berlin
81;82;588.6;CommercialBuildingArea_Residential;4;Berlin
82;83;742.9;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;22;Berlin
83;84;945.2;Residential;3;Berlin
84;85;1753.8;CommercialBuildingArea_Residential_SpecialUseArea;10;Berlin
85;86;815.2;CommercialBuildingArea_Residential;17;Berlin
86;87;783.8;CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea;19;Berlin
87;88;680.0;Residential;1;Berlin
88;89;704.4;Residential;5;Berlin
89;90;814.5;MixedUseArea_Residential;7;Berlin
