;Neighborhood_FID;Land_Value;Area_Types;Area_Count;City_Name
0;1;207.6;Residential;4;Dresden
1;2;55.0;CommercialBuildingArea_Residential;2;Dresden
2;4;664.3;AgriculturalArea_MixedUseArea_Residential;3;Dresden
3;6;456.0;AgriculturalArea_CommercialBuildingArea_Residential;23;Dresden
4;7;194.2;AgriculturalArea_Residential;2;Dresden
5;8;278.9;AgriculturalArea_Residential;14;Dresden
6;10;333.9;AgriculturalArea_Residential;8;Dresden
7;11;80.0;Residential;1;Dresden
8;12;268.7;MixedUseArea_Residential;8;Dresden
9;13;348.8;Residential;3;Dresden
10;15;238.3;AgriculturalArea_CommercialBuildingArea_Residential;7;Dresden
11;18;582.0;AgriculturalArea_Residential;4;Dresden
12;20;779.5;AgriculturalArea_MixedUseArea_Residential;15;Dresden
13;24;353.9;AgriculturalArea_Residential;8;Dresden
14;25;231.6;AgriculturalArea_CommercialBuildingArea_Residential;7;Dresden
15;26;186.2;Residential;2;Dresden
16;27;309.2;AgriculturalArea_Residential;3;Dresden
17;28;83.5;AgriculturalArea_Residential;4;Dresden
18;32;296.7;MixedUseArea_Residential;7;Dresden
19;33;238.9;AgriculturalArea_Residential;3;Dresden
20;34;219.9;AgriculturalArea_CommercialBuildingArea_Residential;17;Dresden
21;37;123.2;AgriculturalArea_Residential;2;Dresden
22;38;228.7;Residential;2;Dresden
23;39;42.3;AgriculturalArea_CommercialBuildingArea;2;Dresden
24;40;402.6;AgriculturalArea_Residential;7;Dresden
25;41;536.3;AgriculturalArea_MixedUseArea_Residential;8;Dresden
26;42;247.4;Residential;4;Dresden
27;43;316.2;AgriculturalArea_Residential;5;Dresden
28;44;260.9;AgriculturalArea_MixedUseArea_Residential;6;Dresden
29;46;306.4;CommercialBuildingArea_Residential;29;Dresden
30;47;3112.3;AgriculturalArea_MixedUseArea;8;Dresden
31;50;212.7;AgriculturalArea_CommercialBuildingArea_Residential;10;Dresden
32;51;482.6;AgriculturalArea_CommercialBuildingArea_MixedUseArea_Residential;18;Dresden
33;52;83.3;CommercialBuildingArea;2;Dresden
34;53;236.1;Residential;5;Dresden
35;56;224.9;AgriculturalArea_Residential;8;Dresden
36;57;849.0;AgriculturalArea_MixedUseArea_Residential;13;Dresden
37;59;238.7;Residential;8;Dresden
38;60;392.0;AgriculturalArea_CommercialBuildingArea_Residential;15;Dresden
39;63;223.3;AgriculturalArea_MixedUseArea_Residential;6;Dresden
40;64;143.5;AgriculturalArea_Residential;5;Dresden
41;65;241.3;CommercialBuildingArea_Residential;8;Dresden
42;66;362.7;AgriculturalArea_Residential;4;Dresden
43;67;239.7;AgriculturalArea_CommercialBuildingArea_MixedUseArea_Residential;12;Dresden
44;68;983.2;AgriculturalArea_CommercialBuildingArea_MixedUseArea_Residential;7;Dresden
45;69;78.4;CommercialBuildingArea_Residential;4;Dresden
46;70;372.3;Residential;2;Dresden
47;71;277.0;AgriculturalArea_CommercialBuildingArea_MixedUseArea_Residential;10;Dresden
48;72;140.0;Residential;2;Dresden
49;73;327.4;CommercialBuildingArea_Residential;16;Dresden
50;74;384.4;Residential;4;Dresden
51;75;355.0;AgriculturalArea_Residential;8;Dresden
52;76;951.8;AgriculturalArea_MixedUseArea_Residential;10;Dresden
53;77;69.2;AgriculturalArea_Residential;2;Dresden
54;79;195.2;AgriculturalArea_CommercialBuildingArea_Residential;17;Dresden
55;83;151.7;AgriculturalArea_Residential;2;Dresden
56;87;201.3;AgriculturalArea_Residential;2;Dresden
57;88;294.2;AgriculturalArea_Residential;7;Dresden
58;92;532.5;Residential;2;Dresden
59;93;856.6;AgriculturalArea_MixedUseArea_Residential;14;Dresden
60;94;676.5;AgriculturalArea_CommercialBuildingArea_MixedUseArea_Residential;11;Dresden
61;95;351.8;AgriculturalArea_CommercialBuildingArea_Residential;11;Dresden
62;96;192.7;AgriculturalArea_Residential;4;Dresden
63;97;844.0;AgriculturalArea_CommercialBuildingArea_MixedUseArea_Residential;16;Dresden
64;98;452.8;AgriculturalArea_CommercialBuildingArea_Residential;13;Dresden
65;101;768.5;AgriculturalArea_CommercialBuildingArea_Residential;11;Dresden
66;102;279.0;AgriculturalArea_CommercialBuildingArea_Residential_SpecialUseArea;11;Dresden
67;103;543.6;AgriculturalArea_MixedUseArea_Residential;9;Dresden
68;107;124.8;Residential;3;Dresden
69;108;80.0;Residential;1;Dresden
70;109;319.6;Residential;4;Dresden
71;112;394.7;CommercialBuildingArea_MixedUseArea_Residential;14;Dresden
72;113;454.6;Residential;11;Dresden
73;114;225.0;AgriculturalArea_Residential;4;Dresden
74;115;589.5;AgriculturalArea_MixedUseArea_Residential;19;Dresden
75;117;504.7;AgriculturalArea_CommercialBuildingArea_Residential;12;Dresden
76;118;1111.4;AgriculturalArea_MixedUseArea_Residential;10;Dresden
77;120;831.3;AgriculturalArea_CommercialBuildingArea_Residential;14;Dresden
78;121;487.5;AgriculturalArea_CommercialBuildingArea_Residential;16;Dresden
79;124;90.0;Residential;1;Dresden
80;126;737.7;AgriculturalArea_MixedUseArea_Residential;5;Dresden
81;127;218.4;CommercialBuildingArea_Residential;25;Dresden
82;128;109.3;AgriculturalArea_Residential;3;Dresden
83;129;1140.5;MixedUseArea_Residential;5;Dresden
84;130;152.5;CommercialBuildingArea_Residential;2;Dresden
85;131;271.5;Residential;2;Dresden
86;132;344.4;AgriculturalArea_Residential;11;Dresden
87;133;681.2;AgriculturalArea_Residential;5;Dresden
88;134;273.9;AgriculturalArea_Residential_SpecialUseArea;8;Dresden
89;135;230.9;Residential;4;Dresden
90;138;234.9;Residential;4;Dresden
91;139;1110.8;AgriculturalArea_MixedUseArea_Residential;8;Dresden
92;141;403.4;AgriculturalArea_Residential;14;Dresden
93;142;174.5;Residential;3;Dresden
94;143;105.0;CommercialBuildingArea;1;Dresden
95;144;117.6;Residential;4;Dresden
96;149;366.3;Residential;7;Dresden
97;150;178.9;AgriculturalArea_CommercialBuildingArea_Residential;11;Dresden
98;152;608.0;MixedUseArea_Residential;7;Dresden
99;153;80.0;Residential;1;Dresden
100;155;200.3;AgriculturalArea_Residential;7;Dresden
101;156;254.7;AgriculturalArea_CommercialBuildingArea_Residential;11;Dresden
102;157;502.0;AgriculturalArea_CommercialBuildingArea_Residential;11;Dresden
103;158;349.0;AgriculturalArea_Residential;17;Dresden
104;159;386.7;AgriculturalArea_MixedUseArea_Residential;6;Dresden
105;162;229.3;AgriculturalArea_CommercialBuildingArea_Residential_SpecialUseArea;18;Dresden
