;Neighborhood_FID;Land_Value;Area_Types;Area_Count;City_Name
0;1;788.8;CommercialArea_CoreArea_Farmland_GreenArea_Residential_SpecialUseArea;25;Köln
1;2;874.9;CommercialArea_Farmland_ForestryArea_GreenArea_MixedUseArea_OtherSpecialArea_Residential_SpecialUseArea;32;Köln
2;3;468.4;CommercialArea_Farmland_ForestryArea_GreenArea_MixedUseArea_Residential_SpecialUseArea;18;Köln
3;4;286.0;AgriculturalArea_CommercialArea_Farmland_GreenArea_Residential_SpecialUseArea;25;Köln
4;5;652.8;Farmland_ForestryArea_Residential_SpecialUseArea;20;Köln
5;6;1280.4;CommercialArea_OtherSpecialArea_Residential_SpecialUseArea;7;Köln
6;7;2447.8;CommercialArea_CoreArea_GreenArea_OtherSpecialArea_Residential;9;Köln
7;8;132.4;AgriculturalArea_CommercialArea_Farmland_ForestryArea_Residential_SpecialUseArea;22;Köln
8;9;253.4;AgriculturalArea_CommercialArea_CoreArea_Farmland_ForestryArea_GreenArea_Residential_SpecialUseArea;19;Köln
9;10;1336.6;Residential_SpecialUseArea;10;Köln
10;11;532.9;CommercialArea_CoreArea_Farmland_Residential_SpecialUseArea;18;Köln
11;12;414.3;CommercialArea_Farmland_Residential_SpecialUseArea;20;Köln
12;13;1210.8;CommercialArea_CoreArea_Residential_SpecialUseArea;20;Köln
13;14;701.3;CommercialArea_Farmland_OtherSpecialArea_Residential_SpecialUseArea;37;Köln
14;15;639.4;CommercialArea_Farmland_Residential_SpecialUseArea;19;Köln
15;16;655.4;CommercialArea_Farmland_Residential_SpecialUseArea;20;Köln
16;17;483.5;CommercialArea_ForestryArea_Residential_SpecialUseArea;21;Köln
17;18;192.5;AgriculturalArea_CommercialArea_Farmland_ForestryArea_GreenArea_IndustrialArea_MixedUseArea_Residential_SpecialUseArea;44;Köln
18;19;439.4;CommercialArea_Farmland_ForestryArea_GreenArea_Residential_SpecialUseArea;20;Köln
19;20;731.4;ForestryArea_Residential_SpecialUseArea;12;Köln
20;21;277.8;CommercialArea_Farmland_ForestryArea_Residential_SpecialUseArea;29;Köln
21;22;1683.0;CommercialArea_CoreArea_GreenArea_MixedUseArea_OtherSpecialArea_Residential_SpecialUseArea;30;Köln
22;23;791.6;CommercialArea_CoreArea_Farmland_Residential_SpecialUseArea;30;Köln
23;24;4430.3;CoreArea_MixedUseArea_Residential_SpecialUseArea;44;Köln
24;25;315.2;CommercialArea_Farmland_ForestryArea_GreenArea_Residential_SpecialUseArea;32;Köln
25;26;355.6;CommercialArea_Farmland_GreenArea_IndustrialArea_MixedUseArea_OtherSpecialArea_Residential_SpecialUseArea;27;Köln
26;27;88.3;AgriculturalArea_CommercialArea_Farmland_ForestryArea_GreenArea_IndustrialArea_Residential_SpecialUseArea;24;Köln
27;28;197.1;AgriculturalArea_CommercialArea_Farmland_ForestryArea_GreenArea_IndustrialArea_Residential_SpecialUseArea;40;Köln
